,ALB,ARG,ABW,AUS,AUT,BHR,BGD,BRB,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
PER,,0,0,77,150,0,1,6,0,119,260,12,55,0,371,"1,536",898,26,2,49,329,6,45,1,4,549,0,0,92,75,"2,549",,0,53,,0,,0,0,"1,012",6,8,208,254,116,1,68,,3,0,,0,"3,517",0,C,0,0,,"1,230",,200,,,243,,,1,0,,0,468,C,2,0,8,C,65,774,1,0,,"1,334","8,709",37,1,
PHL,,0,0,C,139,29,2,0,0,55,183,,1,0,"1,746",530,1,"1,526",1,336,3,,1,0,1,788,0,0,148,505,"2,500",,0,268,,0,0,3,7,"1,975",7,,230,"2,315",58,0,320,,1,0,,0,"6,406",293,C,1,,,"2,417",C,"3,886",,,15,1,,0,0,,0,732,"5,470",0,3,,221,472,727,75,0,,"6,135","23,207",0,,
PCN,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,0,,,
POL,C,0,0,475,"5,546",56,43,0,0,"2,444",189,,1,173,"1,069",408,162,38,16,318,0,,9,13,"1,576","1,272",0,70,425,"8,138","21,096",1,147,362,,235,0,0,0,"5,848",0,36,"2,063","8,694","2,538",52,310,,65,19,,115,"13,067",0,37,1,,0,"4,824",C,"3,502",,,0,1,C,,13,16,C,819,C,"1,094",283,12,134,699,"3,212",8,0,,"11,501","21,599",3,,2
PRT,,0,0,281,"1,391",49,3,3,0,"2,954",26,,338,22,"1,033","1,458",1,17,9,85,0,,16,27,7,"1,069",0,13,783,"23,531","17,535",4,996,194,,1,0,0,1,"7,495",0,3,"6,625",741,"3,229",1,143,0,12,1,,5,"14,933",0,109,7,8,,"4,039",,"1,318",,,0,0,,61,,40,C,183,C,64,130,5,"16,231",219,433,0,0,,"7,820","12,405",0,,
PRI,,0,0,C,0,0,,1,0,2,16,,19,0,65,"1,327",10,0,,0,0,1,0,0,,9,0,0,0,1,0,,,0,,0,0,0,,64,0,,1,24,15,0,2,,,0,,0,0,0,0,0,,,14,,47,,,1,1,,0,0,,0,,C,0,0,,C,27,,0,0,,27,,0,,
QAT,,0,0,72,235,"2,272",1,0,0,40,457,,0,0,229,"1,381",2,870,196,30,0,,7,1,0,73,90,1,C,111,617,,,47,,0,,0,,"2,348",1,,16,"1,110",83,3,131,"1,085",0,141,,0,"1,082",12,C,0,,,340,,166,25,,0,6,C,0,0,,0,"5,699",C,0,0,0,C,80,526,312,5,,"1,033","5,299",0,,8
REU,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,7,,,,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,,,,
ROU,,0,0,30,"1,566",4,,0,0,178,65,,0,294,186,691,8,0,0,2,0,,0,33,465,381,0,61,237,349,"2,384",,155,92,,97,,0,,809,0,,640,240,295,0,18,,50,0,,98,"3,389",,7,1,,,"1,238",,159,,,0,0,C,317,7,,C,92,C,209,124,3,C,78,430,1,0,,"1,935","3,690",0,,
RUS,49,0,1,787,868,183,16,7,58,118,"1,282",1,13,4,"1,754","1,686",15,71,6,603,0,0,3,"2,273",189,"1,282",0,40,523,"1,758","3,353",21,22,529,,124,1,0,,"21,370",2,39,886,"1,268",402,171,762,,62,27,,13,"13,687",538,C,4,15,0,"5,718",,"3,734",2,,7,0,118,17,0,2,,810,C,10,61,72,143,"1,529","1,501",12,24,1,"14,961","39,625",3,,11
RWA,,0,0,C,1,0,,0,0,,2,,,0,,,0,0,,4,0,,0,0,0,21,0,0,,0,15,,,9,,0,,0,,24,0,,7,1,,0,0,,,0,,0,91,,0,32,,,10,,4,,,,0,,0,0,,0,,,0,0,,C,0,8,,0,,7,131,,,
SHN,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,1,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
SPM,,0,0,0,0,0,,1,0,,0,,,0,,,0,0,,0,0,,0,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,,,0,,,,0,,0,0,,0,,,0,0,,C,0,,0,0,,0,0,,,
WSM,,0,0,0,0,0,,0,0,,0,,0,0,,1,0,80,,0,0,,0,0,0,0,0,0,,,1,,,0,,0,,0,,0,13,,0,0,,0,0,,,0,,0,0,,0,10,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,10,0,,0,0,,,
SMR,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,37,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,0,0,,0,0,,,
STP,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
SAU,C,0,0,C,0,"1,496",22,0,0,,26,,1,0,9,357,0,65,,24,0,,0,0,0,0,340,0,,"5,017",0,,,45,,0,0,0,2,13,0,,0,93,105,0,8,"1,461",,95,,0,274,217,0,0,,,0,,399,118,,,0,,0,0,,0,0,24,0,0,,C,0,6,44,0,,"3,339",9,0,,11
SEN,,0,0,C,2,0,,0,0,,0,,,0,,1,0,48,,1,0,,0,0,0,76,0,0,C,80,148,,,9,,0,,11,,79,0,,6,6,25,0,2,,0,1,,0,361,,C,50,,,74,,0,,,,0,,0,0,,0,0,C,0,0,,C,26,25,,0,,16,297,,,
SRB,,0,0,C,127,10,,0,0,,2,,1,1,106,7,0,0,,5,0,,0,3,2,173,0,1,47,105,451,,0,15,,0,,0,,228,0,,64,49,1,0,1,20,1,0,,1,"3,188",,0,0,,,403,,0,,,,0,,C,0,1,0,60,C,1,26,1,C,20,70,,0,,434,"3,265",,,
SYC,,0,0,0,4,0,,0,0,0,0,,3,0,,,0,0,,0,0,,0,3,0,10,0,0,,0,17,,0,0,,0,0,0,,17,0,,9,0,,0,0,,,0,,0,49,,0,3,,,1,,0,,,,0,,C,0,,0,,,0,0,,C,0,29,,0,,0,31,,,
SLE,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,0,0,35,,,0,,117,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,56,0,,,
SGP,,0,2,"3,537",182,22,8,73,0,276,"3,335",,31,0,"5,775","5,220",144,"16,358",200,"2,416",0,,11,6,0,753,6,0,129,"1,411","3,039",0,0,709,,1,3,50,210,"13,551",97,25,357,"19,233",375,72,"2,402",9,35,1,,2,"15,764","22,573",C,"3,651",,32,"7,326",C,"5,052",,,1,21,34,1,8,C,2,"1,204",,0,10,868,127,"1,424","3,232","1,375",0,,"24,085","98,913",,,2
SXM,,0,1,0,0,0,,0,0,,0,,0,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,75,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,47,,,
SVK,,0,0,4,"5,143",0,4,0,0,"2,998",6,,,61,8,4,9,0,3,2,0,,0,6,"3,120",69,0,19,85,"1,293","7,219",,14,0,,33,0,0,,733,0,1,711,306,173,0,40,,27,2,,68,"1,703",,21,0,,,418,,414,,,0,0,,42,9,C,3,,C,,196,,C,2,"1,311",0,0,,15,345,,,
SVN,,0,0,C,"1,242",4,3,0,0,506,55,,,54,100,31,39,14,11,14,0,,0,3,140,219,0,25,44,"1,431","5,537",0,0,0,,37,0,0,,"1,192",0,6,"1,093",447,7,0,16,,29,0,,67,"2,423",,C,0,,,284,,648,,,41,0,,66,69,48,C,,C,204,,,162,1,116,5,0,,916,"5,156",2,,
SLB,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,0,0,,0,0,,,
SOM,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
ZAF,,0,2,"1,988",214,168,5,7,0,171,475,,7,1,"3,542","1,416",59,42,3,644,2,0,4,14,7,"1,475",0,1,215,699,"3,656",4,5,515,,4,1,7,1,"6,962",1,25,621,"5,366",188,0,677,,5,62,,1,"12,807",23,C,"1,656",,0,"6,407",C,"3,977",2,,7,2,3,20,162,,1,"1,330",C,0,18,,C,"1,427","2,340",431,0,,"24,653","62,855",4,,1
SSD,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,1,,,,0,,0,0,,0,,,0,0,,C,1,0,,0,,1,0,,,
ESP,,66,2,"3,841","12,927",111,112,7,0,"28,133","1,154",1,"1,932",155,"9,308","6,348",305,638,128,"1,088",25,1,36,180,152,"6,337",0,46,"4,850","193,606","153,331",40,"8,427","1,138",,8,10,0,1,"56,816",10,292,"76,788","32,345","3,005",58,"1,190",10,62,26,,32,"97,053",3,481,33,394,0,"44,692",,"19,782",,,108,110,6,136,"19,246",1,0,"1,816","4,372","1,370",991,66,,"5,368","11,045",34,19,,"75,878","115,177",22,,1
LKA,,0,0,12,41,9,9,0,0,1,26,,0,0,95,39,0,97,,7,0,,0,0,0,298,0,0,45,53,349,,,2,,0,,0,1,339,0,,144,76,7,0,3,,1,1,,0,"2,925",2,0,33,,,345,,37,,,,0,C,12,0,,0,99,675,0,0,1,C,21,56,0,0,,775,"3,391",,,
KNA,,0,0,0,0,0,,1,0,,0,,1,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,0,,,
LCA,,0,0,0,0,0,,18,0,,0,,1,0,,4,0,0,,0,0,,21,0,0,0,0,0,,,0,,,0,,0,,0,,1,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,9,,,
VCT,,0,0,0,1,0,,0,0,,0,,7,0,,,1,0,,0,0,,0,0,0,0,0,0,,0,0,,,0,,11,,0,,0,0,,0,0,,0,0,,,0,,0,1,,0,0,,,0,,0,,,,0,,0,0,,0,,C,0,0,,C,0,124,,0,,0,1,,,
SDN,,0,0,0,0,1,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,2,0,,,0,,,3,,0,,0,,0,0,,0,0,,0,0,22,,4,,0,0,0,0,0,,,0,,0,,,,0,,0,0,,0,,C,0,0,,C,0,0,,0,,1,0,,,
SUR,,0,0,0,0,0,,0,0,,3,,,0,,,0,0,,0,0,,1,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,2,,C,0,0,,0,,0,0,,,
SWZ,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,1,,0,0,,0,1,,,0,,0,,,0,0,,0,0,,0,,,0,0,25,C,62,0,,0,,0,0,,,
SWE,1,0,2,"5,041","4,014",88,40,5,0,"4,389","3,329",166,14,43,"8,651","14,638",69,"2,582",61,"1,411",92,4,17,249,324,"18,768",0,267,"28,661","37,903","53,872",3,48,"9,114",,18,36,0,0,"43,848",519,195,"5,166","35,324","8,054",325,"1,342",0,347,9,,283,"71,182",63,384,17,30,,"19,434",C,"41,283",,,9,36,2,"1,389",561,4,0,"1,940",C,631,259,84,"2,566",,"21,812",10,3,,"49,277","137,502",249,,
CHE,C,1,11,"11,040","4,766",137,10,122,0,"4,804","2,276",67,"2,838",8,"25,502","8,855","2,359","1,662",657,"4,105",15,10,67,43,124,"6,220",26,22,"3,680","27,053","47,986",49,226,"2,565",,35,56,10,1,"28,515",151,708,"9,867","28,919","5,381",497,"4,211",122,9,267,,11,"86,639",33,134,248,109,6,"23,608",C,"33,389",,,56,92,35,141,347,4,260,"6,666",C,11,129,563,"5,781","15,441",,19,7,,"85,498","419,714",14,526,3
SYR,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,1,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,77,,1,,0,0,,0,0,,,0,,0,,,0,0,,0,0,,0,21,,0,0,,C,0,0,,0,,0,0,,,
TWN,,0,1,"2,977",132,4,4,4,0,192,759,,0,0,"6,231","1,185",3,"5,618",4,184,0,,4,0,2,"1,348",0,0,257,"1,008","2,340",0,,239,,0,4,6,12,"10,987",1,,321,"6,802",252,0,"1,372",,0,0,,0,"19,047",583,0,151,1,0,"7,742",,"8,136",,,0,0,C,0,0,,0,"2,420","14,881",0,27,17,C,"2,721","2,589",37,0,,"32,557","107,699",,,
TJK,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,115,,0,0,,,2,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
TZA,,0,0,0,0,0,,0,0,,14,,,0,,11,0,3,,3,0,,0,1,0,9,0,0,C,0,17,,,2,,0,,0,,45,0,,8,1,44,0,0,,,0,,0,323,0,0,34,,,16,,0,,,,0,,0,0,,0,,,0,0,72,C,0,6,,0,,64,289,,,
THA,,0,0,"1,162",146,64,2,1,0,116,385,,1,0,"1,856","1,431",2,"1,322",37,547,0,,2,2,0,800,0,0,130,264,"1,957",7,0,112,,0,0,19,24,"3,743",66,,120,"6,996",141,0,450,,0,0,,0,"9,848",842,0,467,,,"3,091",C,"2,447",,,0,2,135,0,0,,0,958,"7,535",0,3,11,C,624,820,,0,,"8,685","29,764",,,
TLS,,0,0,C,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,3,,0,0,,,0,,0,,,,0,,0,0,,0,,C,0,0,,C,0,0,,0,,0,,,,
TGO,,0,0,0,0,0,,0,0,,0,,,0,,,0,5,,0,0,,0,0,0,2,0,0,C,0,0,,,0,,0,,0,,5,0,,0,0,,0,0,,,0,0,0,3,0,0,2,,,1,,0,,,,0,,0,0,,0,,,0,0,,C,0,2,0,0,,0,136,,,
TKL,,0,0,0,0,0,,0,0,,0,,0,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,39,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,0,0,,0,0,,,
TON,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
TTO,,0,0,0,2,5,,44,0,,4,,0,0,33,155,0,0,,0,0,,36,0,0,42,0,0,C,0,73,,,0,,0,,0,,47,0,,5,88,,0,9,,,0,,0,279,,C,14,,,57,,0,,,19,0,,0,0,,0,10,,0,0,,C,1,12,,0,,63,720,,,
TUN,C,0,0,C,51,95,,0,0,7,2,,,0,15,1,0,2,,4,0,,0,8,0,34,2,0,C,86,220,7,,2,,0,,0,0,223,0,,103,"1,087",7,0,1,15,1,0,,0,121,0,C,54,,,101,,140,,,,0,,0,0,,0,30,C,0,0,,C,104,31,,0,,25,"1,216",,,
TUR,167,0,0,449,"1,296","3,324",46,0,0,211,337,,3,122,"1,539",980,6,348,1,742,0,2,52,12,221,"1,544",6,53,308,"1,612","6,288",4,977,442,,126,0,0,2,"4,735",1,81,"1,365","5,573","2,579",75,328,358,51,23,,28,"13,407",441,"13,318",20,,0,"4,804",,"4,396",33,,8,2,1,852,106,329,90,"2,508",C,83,46,25,232,605,"1,719","1,851",,,"13,771","33,510",1,,12
TKM,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,11,0,,,
TCA,,0,0,0,0,0,,1,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,14,0,,,0,,0,,0,,12,0,,3,3,,0,0,,,0,,0,5,,0,0,,,1,,0,,,0,0,,0,0,,0,,,0,0,,C,0,37,,0,,0,407,,,
TUV,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
UGA,,0,0,0,0,0,,0,0,,0,,,0,,64,0,4,,0,0,,0,0,0,0,0,0,C,,0,12,,8,,0,,0,,12,0,,0,0,21,0,0,,,0,,0,93,,0,8,,,0,,21,,,,0,,0,0,,0,,,0,0,35,C,0,3,0,0,,31,147,,,
UKR,,0,0,C,29,8,,0,0,0,18,,1,0,159,771,0,6,,7,0,,0,70,2,277,0,9,10,72,96,,0,79,,0,0,0,,283,0,,67,54,12,0,26,,5,1,,4,"3,771",,0,1,,0,735,,197,,,0,0,C,C,0,,C,150,C,1,0,,C,23,54,0,4,,290,"6,985",0,,
ARE,,0,0,"1,125",318,"4,472",25,0,0,449,944,,10,4,"1,228","3,636",46,"1,774",142,200,135,,19,9,4,150,74,1,108,"1,229","2,676",1,5,695,,0,0,7,2,"4,653",8,,347,"1,473",742,0,409,"2,759",4,217,,4,"6,500",462,C,73,,0,"1,166",,"1,560",30,,1,0,C,C,17,,0,"8,966",C,29,5,16,193,213,"5,347",690,2,,"4,997","9,094",0,,37
GBR,4,3,36,"54,767","15,086","1,330",221,483,0,"26,679","36,315",164,319,74,"76,507","67,535","3,156","64,620","1,457","12,452",452,86,305,"1,270",609,"24,823",104,180,"19,257","239,845","198,978",279,"17,250","44,271",3,181,541,288,53,"463,109","32,508","6,427","67,767","171,104","30,302","3,885","16,518",598,208,598,,99,"316,718","3,635","2,654","1,900",292,19,"111,253",C,"91,826",13,,100,378,197,937,"7,030",108,C,"13,571","34,913","1,704",801,"53,069","34,198","45,813","78,653","1,097",138,33,,"1,239,501",175,98,6
USA,9,"22,129",332,"299,826","28,810","4,182",329,"4,576",2,"38,874","293,799",877,"13,133",474,"716,906","1,141,629","45,473","118,527","4,984","111,144","19,043",814,"9,418",513,"2,259","113,196",275,342,"43,631","245,894","320,482",79,"1,038","57,492",101,"1,160","1,431",440,590,"663,110",906,"65,400","84,124","1,370,877","30,878","34,403","98,104","2,064","2,328","1,379",,127,"889,866","20,816","1,401","3,769","20,204",33,"428,607",C,"302,671",2,307,"8,320","12,694","4,753","2,745","6,320",177,"3,514","74,562","297,958",825,"1,515","24,435","35,839","143,624","271,918","5,332",354,72,"968,186",,"2,199","3,352",25
URY,,1,0,12,28,8,,0,0,13,46,,74,0,132,75,115,5,,15,0,5,44,0,0,323,0,0,44,20,950,,0,46,,0,,0,,435,0,,75,839,9,0,20,,1,0,,0,"2,840",,C,0,,,512,,29,,,0,0,,0,0,,0,101,C,0,0,,C,10,156,0,0,,224,"3,755",,,
PUQ,,0,0,0,0,0,,0,0,,41,,0,0,,24,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,,0,16,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,,,,
VIR,,0,0,0,0,0,,0,0,,1,,25,0,,263,0,36,0,0,0,,1,0,0,0,0,0,C,0,0,,,0,,0,,0,,26,11,,0,403,,0,0,,,0,,0,148,22,0,0,,,0,,2,,,13,0,,0,8,,0,,C,0,0,,C,1,0,0,0,,12,,0,,
UZB,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,2,0,0,,0,2,,,0,,0,26,,0,0,,,0,,0,,,,0,,0,0,,C,,,0,0,,C,0,0,,0,,0,0,,,
VUT,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
VAT,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
VEN,,0,0,C,63,0,,4,0,7,19,,5,1,322,281,6,33,,11,0,3,"13,861",5,1,452,0,1,18,275,234,,3,82,,1,,0,,812,2,2,"1,194",205,575,0,66,,2,55,,1,"2,284",0,C,0,,,630,,438,2,,131,29,C,C,72,0,36,192,C,2,0,,C,0,430,0,7,,476,"6,320",100,,
VNM,,0,0,C,28,0,4,0,0,13,31,,0,0,142,373,0,439,,11,0,,0,0,0,129,0,0,309,105,186,,,24,,0,,0,9,267,0,,34,184,1,0,499,,2,0,,0,"1,184",13,0,61,,,126,,175,,,,0,C,C,0,,C,40,"1,006",0,0,,C,31,67,53,1,,"1,296","2,750",,,
VGB,,0,0,635,327,25,,245,0,523,"5,565",,878,2,"1,831","11,467",890,"18,143","2,268","12,723",4,1,"2,295",8,1,399,0,13,655,"2,411","4,622",82,9,"2,119",,5,0,17,,"4,185",523,17,712,"3,168","1,603",10,"1,973",2,53,10,,9,"15,348",990,44,"1,427",,,"1,492",,627,,,49,3,191,30,179,0,154,196,"7,134",10,2,139,811,196,274,512,0,,"7,206","62,701",5,,
WLF,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,20,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,,,,
PSE,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,75,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,0,0,,0,1,,,
ESH,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,0,,,
YEM,,0,0,0,0,2,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,7,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
ZMB,,0,0,3,27,0,,0,0,,0,,,0,,,0,0,,12,0,,0,0,0,97,0,0,12,57,147,,,19,,0,,0,,126,0,,23,53,12,0,0,,0,1,,0,640,,0,21,,,148,,0,,,,0,,0,0,,0,,C,0,0,47,C,3,17,0,0,,112,838,,,
ZWE,,0,0,C,0,0,,0,0,,0,,,0,,25,0,0,,0,0,,0,0,0,4,0,0,,0,1,0,0,15,,0,,0,,67,0,,0,0,,0,0,,,0,,0,49,,0,84,,,0,,3,,,,0,,0,0,,0,,,0,0,25,C,0,0,,0,,2,84,,,
